hybrid,features_path,sequences_dir,feature_dim,hidden_size,num_layers,dropout,bidirectional,batch_size,lr,weight_decay,epochs,grad_clip,use_class_weights,val_frac,test_frac,seed,device,ckpt_path,kappa,macro_f1,accuracy,amp,patience
False,../data_extraction/epoch_features.csv,../data_extraction/sequences,128,128,2,0.36522728244938263,True,4,0.0010675227795271356,3.8670718114899184e-05,60,5.0,True,0.15,0.15,36631,cuda,../models/best_lstm.pt,0.46804280287385835,0.5653319358263876,0.5972887239645679,,15.0
False,../data_extraction/epoch_features.csv,../data_extraction/sequences,128,128,3,0.3416493362665036,True,4,0.0018273545014266,0.0001339959719863,60,5.0,True,0.15,0.15,36631,cuda,../models/best_lstm.pt,0.4653874772380428,0.5616332078528573,0.5948348096720134,,10.0
False,../data_extraction/epoch_features.csv,../data_extraction/sequences,128,128,2,0.3230401614505301,True,4,0.0008858076543620874,2.3233188671862794e-05,60,5.0,True,0.15,0.15,36631,cuda,../models/best_lstm.pt,0.4634032869564223,0.5570802697459846,0.5915728992099593,,15.0
False,../data_extraction/epoch_features.csv,../data_extraction/sequences,128,256,2,0.2073912852388153,True,4,0.0008034772148815,0.0002819597152394,60,5.0,True,0.15,0.15,36631,cuda,../models/best_lstm.pt,0.460215653957751,0.5526887106921003,0.5858870002394063,,10.0
False,../data_extraction/epoch_features.csv,../data_extraction/sequences,128,128,2,0.3843483915368581,True,4,0.0009346412139966712,1.978610920274796e-05,60,5.0,True,0.15,0.15,36631,cuda,../models/best_lstm.pt,0.4585876435679245,0.5621870800602238,0.5872336605219056,,15.0
False,../data_extraction/epoch_features.csv,../data_extraction/sequences,128,128,2,0.3647979837991665,True,4,0.0008633194520272253,3.312191655870167e-05,60,5.0,True,0.15,0.15,36631,cuda,../models/best_lstm.pt,0.4574254995634275,0.5582202131768639,0.5881314340435719,,15.0
False,../data_extraction/epoch_features.csv,../data_extraction/sequences,128,128,2,0.3993647115810406,True,4,0.0011929383141097,7.662781818634216e-05,60,5.0,True,0.15,0.15,36631,cuda,../models/best_lstm.pt,0.4547214116425208,0.5506071381360812,0.5854381134785731,,
False,../data_extraction/epoch_features.csv,../data_extraction/sequences,128,128,2,0.2638370595096936,True,4,0.0005184020932505937,3.105803993023145e-05,60,5.0,True,0.15,0.15,36631,cuda,../models/best_lstm.pt,0.4542423139759295,0.5548911095452619,0.5828345702657409,,15.0
False,../data_extraction/epoch_features.csv,../data_extraction/sequences,128,64,2,0.2372371238702721,True,4,0.0008247532229242,6.715892109491014e-05,60,5.0,True,0.15,0.15,36631,cuda,../models/best_lstm.pt,0.4538105069042186,0.564748760417251,0.587802250418961,,10.0
False,../data_extraction/epoch_features.csv,../data_extraction/sequences,128,256,2,0.1842191717884823,True,16,0.0002374606116632,0.0008784256842801,60,5.0,True,0.15,0.15,36631,cuda,../models/best_lstm.pt,0.4528869714937101,0.5458345318492377,0.5783157768733541,,
False,../data_extraction/epoch_features.csv,../data_extraction/sequences,128,256,1,0.4074881408332024,True,16,0.0030885523529615,1.4981257264536152e-05,60,5.0,True,0.15,0.15,36631,cuda,../models/best_lstm.pt,0.4483803144015363,0.5552080192562378,0.5795427340196313,,
False,../data_extraction/epoch_features.csv,../data_extraction/sequences,128,128,2,0.4167123405543118,True,16,0.0013269032963348,1.550016808222292e-06,60,5.0,True,0.15,0.15,36631,cuda,../models/best_lstm.pt,0.4469374944711695,0.5523953554734744,0.5729291357433565,,
False,../data_extraction/epoch_features.csv,../data_extraction/sequences,128,256,1,0.4074881408332024,True,16,0.0030885523529615,1.4981257264536152e-05,60,5.0,True,0.15,0.15,36631,cuda,../models/best_lstm.pt,0.4459497430723931,0.5359166077748061,0.5880416566914053,,
False,../data_extraction/epoch_features.csv,../data_extraction/sequences,128,128,2,0.3993647115810406,True,4,0.0011929383141097,7.662781818634216e-05,60,5.0,True,0.15,0.15,36631,cuda,../models/best_lstm.pt,0.4430404919715636,0.5489397475366158,0.5813083552789083,,
False,../data_extraction/epoch_features.csv,../data_extraction/sequences,128,128,1,0.4657954045494982,True,8,0.0001345681888498,1.45908664658228e-05,60,5.0,True,0.15,0.15,36631,cuda,../models/best_lstm.pt,0.4223842733109948,0.541342754284957,0.5542255207086426,,
False,../data_extraction/epoch_features.csv,../data_extraction/sequences,128,128,1,0.4657954045494982,True,8,0.0001345681888498,1.45908664658228e-05,60,5.0,True,0.15,0.15,36631,cuda,../models/best_lstm.pt,0.4109868305095973,0.5279687024329371,0.5426442422791478,,
